THUNumber,THUName,ClimateRegion,ReclassVegetation,VegetationType1,VegetationType2,MinAge,MaxAge,MinSlope,MaxSlope,Aspect,MinSand,MaxSand,MinSilt,MaxSilt,MinLatitude,MaxLatitude,MinElevation,MaxElevation,NumberLitterNodes,LitterThickness,LitterDryWeight,FractionGroundCoveredLitter,MaxSnowThickness,SnowNodes,InitSnowTemperature,ShawSoilType1,GiplSoilType1,MaxDepth1,Nodes1,InitTemperature1,InitWaterContent1,ShawSoilType2,GiplSoilType2,MaxDepth2,Nodes2,InitTemperature2,InitWaterContent2,ShawSoilType3,GiplSoilType3,MaxDepth3,Nodes3,InitTemperature3,InitWaterContent3,ShawSoilType4,GiplSoilType4,MaxDepth4,Nodes4,InitTemperature4,InitWaterContent4,ShawSoilType5,GiplSoilType5,MaxDepth5,Nodes5,InitTemperature5,InitWaterContent5,ShawSoilType6,GiplSoilType6,MaxDepth6,Nodes6,InitTemperature6,InitWaterContent6,BottomGiplSoilType,BottomGiplMaxDepth,BottomGiplNodes,BottomGiplInitTemperature,BottomGiplWaterContent
,,,,,,,,,,,,,,,,,,,NR,ZRTHIK,RLOAD,COVER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,yr,yr,degrees,degrees,enum,percent,percent,percent,percent,degrees,degrees,m,m,,cm,kg/ha,,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,YoungHardwood_1_low_All,1,BirchAspen,YoungHardwood,,0,40,0,10,All,0,100,0,100,55,75,0,704,5,5,6000,0.9,0.6,60,3,Organic,mineralSoil,0.1,2,0.1,0.26,Mineral2,mineralSoil,0.4,6,0.1,0.3,Mineral3,mineralSoil,1,6,0.1,0.37,Mineral3,mineralSoil,3,2,0.1,0.37,Mineral3,mineralSoil,6,2,-0.3,0.37,,,,,,,mineralSoil,75,36,-0.5,0.08
2,OldHardwood_1_low_All,1,BirchAspen,OldHardwood,,41,350,0,10,All,0,100,0,100,55,75,0,704,5,5,6000,0.9,0.6,60,3,Mineral1,mineralSoil,0.1,2,-0.1,0.48,Mineral2,mineralSoil,0.4,6,-0.1,0.46,Mineral3,mineralSoil,1,6,-0.1,0.26,Mineral3,mineralSoil,3,2,-0.1,0.26,Mineral3,mineralSoil,6,2,-0.1,0.37,,,,,,,mineralSoil,75,36,-0.3,0.08
3,YoungConifer_1_low_All,1,BlackSpruce,YoungConifer,,0,40,0,10,All,0,100,0,100,55,75,0,704,5,5,6000,0.9,0.6,60,3,Organic,liveMoss,0.2,4,-0.5,0.6,Mineral2,deadMoss,0.5,6,-0.5,0.4,Mineral3,mineralSoil,1,10,-0.5,0.19,Mineral3,mineralSoil,3,2,-0.5,0.19,Mineral3,mineralSoil,6,2,-0.1,0.37,,,,,,,mineralSoil,75,36,-0.1,0.08
4,OldConifer_1_low_All,1,BlackSpruce,OldConifer,,41,350,0,10,All,0,100,0,100,55,75,0,704,5,5,6000,0.9,0.6,60,3,Organic,deadMoss,0.2,4,-2,0.6,Mineral2,mineralSoil,0.5,6,-2,0.4,Mineral3,mineralSoil,1,10,-2,0.19,Mineral3,mineralSoil,3,2,-2,0.19,Mineral3,mineralSoil,6,2,-2,0.37,,,,,,,mineralSoil,75,36,-2,0.08
5,YoungHardwood_2_low_All,2,BirchAspen,YoungHardwood,,0,40,0,10,All,0,100,0,100,55,75,0,704,5,5,6000,0.9,0.6,60,3,Organic,mineralSoil,0.1,2,0.1,0.26,Mineral2,mineralSoil,0.4,6,0.1,0.3,Mineral3,mineralSoil,1,6,0.1,0.37,Mineral3,mineralSoil,3,2,0.1,0.37,Mineral3,mineralSoil,6,2,-0.3,0.37,,,,,,,mineralSoil,75,36,-0.5,0.08
6,OldHardwood_2_low_All,2,BirchAspen,OldHardwood,,41,350,0,10,All,0,100,0,100,55,75,0,704,5,5,6000,0.9,0.6,60,3,Mineral1,mineralSoil,0.1,2,-0.1,0.48,Mineral2,mineralSoil,0.4,6,-0.1,0.46,Mineral3,mineralSoil,1,6,-0.1,0.26,Mineral3,mineralSoil,3,2,-0.1,0.26,Mineral3,mineralSoil,6,2,-0.1,0.37,,,,,,,mineralSoil,75,36,-0.3,0.08
7,YoungConifer_2_low_All,2,BlackSpruce,YoungConifer,,0,40,0,10,All,0,100,0,100,55,75,0,704,5,5,6000,0.9,0.6,60,3,Organic,liveMoss,0.2,4,-0.5,0.6,Mineral2,deadMoss,0.5,6,-0.5,0.4,Mineral3,mineralSoil,1,10,-0.5,0.19,Mineral3,mineralSoil,3,2,-0.5,0.19,Mineral3,mineralSoil,6,2,-0.1,0.37,,,,,,,mineralSoil,75,36,-0.1,0.08
8,OldConifer_2_low_All,2,BlackSpruce,OldConifer,,41,350,0,10,All,0,100,0,100,55,75,0,704,5,5,6000,0.9,0.6,60,3,Organic,deadMoss,0.2,4,-2,0.6,Mineral2,mineralSoil,0.5,6,-2,0.4,Mineral3,mineralSoil,1,10,-2,0.19,Mineral3,mineralSoil,3,2,-2,0.19,Mineral3,mineralSoil,6,2,-2,0.37,,,,,,,mineralSoil,75,36,-2,0.08
